x,y,z,vx,vy,vz,m,id,Star_Classification
1.3246781,-1.1999222,1.2410867,-0.00938044,0.037894685,0.27820948,0.000015625,9970,In_Cluster
0.18020143,0.15933129,0.9751845,-0.82302308,-0.040549945,0.27030808,0.000015625,25113,In_Cluster
-2.9913146,-0.056667719,0.15112576,-0.024050636,0.26030192,-0.058895618,0.000015625,1383,In_Cluster
-0.026719347,0.28882387,-0.044211499,-0.2685512,-0.72028601,0.44460031,0.000015625,5150,In_Cluster
-0.25238216,-0.31705058,-0.2607148,0.67955363,-0.09939114,-0.35983551,0.000015625,58628,In_Cluster
-0.90517086,-0.67825216,-1.1128604,-0.41484472,-0.25834396,-0.59707457,0.000015625,61897,In_Cluster
0.20535873,2.1701231,2.0933673,-0.026878187,0.31802109,-0.33979139,0.000015625,48319,In_Cluster
-0.12001436,-0.33139375,-0.028260671,-0.015365209,-0.10841513,0.034071214,0.000015625,62928,In_Cluster
0.42265126,-0.19782694,-1.0570313,0.73860919,-0.51265633,0.10471664,0.000015625,16334,In_Cluster
0.16269629,-0.26723796,0.032949913,-0.005903417,-0.41948903,0.28685129,0.000015625,55506,In_Cluster
-0.037724774,-0.060723528,-0.23187974,0.10886817,0.48408851,-0.061757155,0.000015625,21262,In_Cluster
-0.6536693,-0.14932287,-0.058038831,-0.66974461,0.17938176,-0.78447998,0.000015625,6621,Isolated
-0.15310188,-0.87063813,0.29912081,-0.046399236,-0.82634777,-0.056366272,0.000015625,38199,Isolated
-4.5432081,-1.676982,3.0166175,0.00497551,0.012493233,-0.002456638,0.000015625,63358,Isolated
-0.6243425,-0.058952514,-0.71852374,-0.86402112,-0.29299656,0.18234418,0.000015625,34497,Isolated
-0.046816681,-0.044323042,0.29550722,-1.0733006,-0.014278837,1.2196795,0.000015625,3150,Isolated
